Timestamp,Mode,Index,Ball_State,Ball_Pos_X,Ball_Pos_Y,Ball_Pos_Z,Hand_Pos_X,Hand_Pos_Y,Hand_Pos_Z,Shift,Cumulative_Omission
21.2403,DeviationTest,0,Hidden,-0.25,1.031037,0.3442098,-0.2102825,1.051334,0.2171282,-20,NA
23.52035,DeviationTest,1,Hidden,-0.25,1.031037,0.3442098,-0.1834271,1.036808,0.2300677,-20,NA
25.52039,DeviationTest,2,Hidden,0,1.031037,0.4442098,-0.02107354,1.030338,0.3221087,-20,NA
27.58044,DeviationTest,3,Hidden,0,1.031037,0.4442098,-0.01069756,1.03632,0.3107561,-20,NA
30.42051,DeviationTest,4,Hidden,0.25,1.031037,0.3442098,0.2458942,1.024235,0.204677,-20,NA
32.72056,DeviationTest,5,Hidden,0.25,1.031037,0.3442098,0.2399128,1.006657,0.3077044,-20,NA
39.80072,PrismAdaptation,0,Caught,-0.4185417,1.153068,0.3103114,-0.3783733,1.12775,0.267177,-20,0
42.20078,PrismAdaptation,1,Caught,-0.3649333,0.9399036,0.4124371,-0.3026897,0.9612465,0.3760638,-20,0
44.88084,PrismAdaptation,2,Caught,0.3033396,1.098388,0.4969524,0.2865437,1.03339,0.4655413,-20,0
47.4409,PrismAdaptation,3,Caught,-0.253861,1.106802,0.4565801,-0.2356731,1.050236,0.4261126,-20,0
50.22096,PrismAdaptation,4,Caught,0.06772903,1.13146,0.4664356,0.0984333,1.097233,0.4532122,-20,0
52.84102,PrismAdaptation,5,Caught,0.1683158,1.133176,0.5335242,0.1670368,1.098942,0.459804,-20,0
55.52108,PrismAdaptation,6,Caught,-0.1286078,0.9536492,0.5730313,-0.09578057,0.9248695,0.5169329,-20,0
58.18114,PrismAdaptation,7,Caught,0.09848563,1.105105,0.5585396,0.0782917,1.054508,0.489345,-20,0
60.9212,PrismAdaptation,8,Caught,0.1213109,1.160123,0.5511128,0.108321,1.087467,0.4941058,-20,0
63.58126,PrismAdaptation,9,Caught,0.1724704,1.133011,0.5220289,0.243697,1.103825,0.4530901,-20,0
66.2209,PrismAdaptation,10,Caught,-0.228242,0.9819694,0.5593263,-0.2072308,0.9340248,0.4761614,-20,0
68.94044,PrismAdaptation,11,Caught,-0.1425893,1.067681,0.5540416,-0.1806194,1.051823,0.5375628,-20,0
71.63999,PrismAdaptation,12,Caught,0.4199437,1.133437,0.4380903,0.4070271,1.079166,0.3883929,-20,0
