Timestamp,Mode,Index,Ball_State,Ball_Pos_X,Ball_Pos_Y,Ball_Pos_Z,Hand_Pos_X,Hand_Pos_Y,Hand_Pos_Z,Shift,Cumulative_Omission
28.30046,DeviationTest,0,Hidden,0.25,1.031037,0.3442098,0.2705525,0.9806557,0.2989153,-15,NA
30.98052,DeviationTest,1,Hidden,-0.25,1.031037,0.3442098,-0.1973431,1.028996,0.2773089,-15,NA
33.10057,DeviationTest,2,Hidden,-0.25,1.031037,0.3442098,-0.1703655,1.033024,0.2286028,-15,NA
35.10061,DeviationTest,3,Hidden,0,1.031037,0.4442098,0.009566113,1.040592,0.2906145,-15,NA
38.58069,DeviationTest,4,Hidden,0,1.031037,0.4442098,-0.0009319335,1.027164,0.3319964,-15,NA
40.84074,DeviationTest,5,Hidden,0.25,1.031037,0.3442098,0.2413776,1.024723,0.279262,-15,NA
47.92091,PrismAdaptation,0,Caught,0.4426994,1.161559,0.3385188,0.4082478,1.145817,0.3118548,-15,0
50.48096,PrismAdaptation,1,Caught,0.2391067,0.9688199,0.512602,0.2039021,0.9716225,0.4331927,-15,0
53.14103,PrismAdaptation,2,Caught,-0.1280291,0.9579448,0.5710453,-0.1367962,0.9874916,0.5103411,-15,0
55.76109,PrismAdaptation,3,Caught,0.1282688,0.9589584,0.5179452,0.1039265,0.9389076,0.5047259,-15,0
58.50115,PrismAdaptation,4,Caught,-0.2981558,1.131486,0.3697993,-0.2990276,1.095646,0.3370013,-15,0
60.9212,PrismAdaptation,5,Caught,-0.1894229,0.9076919,0.5637001,-0.1778118,0.8695717,0.4693255,-15,0
63.62127,PrismAdaptation,6,Caught,-0.2235387,1.083599,0.5679214,-0.2088177,1.045353,0.5398821,-15,0
66.2209,PrismAdaptation,7,Caught,0.01979626,0.9391468,0.5408702,0.04447822,0.929142,0.5234026,-15,0
68.76048,PrismAdaptation,8,Caught,-0.1897354,0.9417369,0.5649195,-0.1834271,0.9251137,0.4729876,-15,0
71.36004,PrismAdaptation,9,Caught,0.1644803,0.9953611,0.5415239,0.1779011,0.9674721,0.5451311,-15,0
73.9596,PrismAdaptation,10,Caught,-0.2232696,1.083393,0.5689092,-0.2171185,1.058414,0.5121722,-15,0
76.55917,PrismAdaptation,11,Caught,-0.4463872,0.942848,0.3828827,-0.429887,0.9166908,0.3323626,-15,0
79.17873,PrismAdaptation,12,Caught,0.2122909,1.1588,0.5169321,0.181197,1.12421,0.4848284,-15,0
