Timestamp,Mode,Index,Ball_State,Ball_Pos_X,Ball_Pos_Y,Ball_Pos_Z,Hand_Pos_X,Hand_Pos_Y,Hand_Pos_Z,Shift,Cumulative_Omission
224.5511,DeviationTest,0,Hidden,-0.25,1.031037,0.3442098,-0.2063763,1.032658,0.2741351,-10,NA
229.3722,DeviationTest,1,Hidden,0.25,1.031037,0.3442098,0.2971638,0.9912758,0.2802386,-10,NA
231.5927,DeviationTest,2,Hidden,-0.25,1.031037,0.3442098,-0.185136,1.028019,0.2253069,-10,NA
233.7131,DeviationTest,3,Hidden,0.25,1.031037,0.3442098,0.23503,1.002995,0.3282122,-10,NA
235.9336,DeviationTest,4,Hidden,0,1.031037,0.4442098,-0.01582451,1.00983,0.346889,-10,NA
238.094,DeviationTest,5,Hidden,0,1.031037,0.4442098,-0.007645801,1.031437,0.374721,-10,NA
244.9755,PrismAdaptation,0,Caught,0.3081513,0.9448605,0.5392861,0.2776325,0.9380531,0.4496722,-10,0
247.456,PrismAdaptation,1,Caught,0.1650625,0.8935764,0.6636758,0.1245563,0.885685,0.5628313,-10,0
249.8766,PrismAdaptation,2,Caught,0.3231927,1.202327,0.5376844,0.3258503,1.158634,0.4519915,-10,0
252.3971,PrismAdaptation,3,Caught,0.1895969,1.088318,0.5897534,0.1844929,1.049259,0.5248675,-10,0
255.0777,PrismAdaptation,4,Caught,0.05214589,1.084357,0.6258411,0.04948311,1.070377,0.5564837,-10,0
257.617,PrismAdaptation,5,Caught,0.0464322,1.134012,0.6175155,0.006392285,1.149357,0.5473284,-10,0
260.1756,PrismAdaptation,6,Caught,0.2368098,1.132593,0.4953226,0.2384479,1.099308,0.4587054,-10,0
262.6742,PrismAdaptation,7,Caught,0.1389472,1.056679,0.6166432,0.1942585,1.035221,0.5363421,-10,0
265.3527,PrismAdaptation,8,Caught,0.2451108,1.011488,0.6734362,0.212569,1.021671,0.5806536,-10,0
268.0113,PrismAdaptation,9,Caught,-0.09350128,0.8978833,0.6512913,-0.09907646,0.871891,0.5503802,-10,0
270.5898,PrismAdaptation,10,Caught,-0.2910077,0.8832934,0.5447755,-0.3262493,0.8954506,0.4786028,-10,0
273.1085,PrismAdaptation,11,Caught,0.4685033,0.9523425,0.5235078,0.4235066,0.9386635,0.4529681,-10,0
275.6671,PrismAdaptation,12,Caught,0.1765559,0.9561121,0.5634409,0.1942585,0.9529457,0.5393938,-10,0
278.3056,PrismAdaptation,13,Caught,-0.270285,0.8938348,0.5326699,-0.2554485,0.9091225,0.5110735,-10,0
280.8842,PrismAdaptation,14,Caught,-0.2554929,0.9413017,0.5275413,-0.2508098,0.9181557,0.4753069,-10,0
283.4028,PrismAdaptation,15,Caught,-0.08278583,1.048515,0.6352665,-0.08723564,1.039249,0.5479388,-10,0
286.1413,PrismAdaptation,16,Caught,-0.1555283,1.131952,0.4827045,-0.1481487,1.098331,0.4599261,-10,0
288.6599,PrismAdaptation,17,Caught,-0.2175936,0.9417069,0.5543296,-0.185136,0.9126625,0.4947161,-10,0
291.2585,PrismAdaptation,18,Caught,-0.03589352,0.9583434,0.6814858,-0.03535576,0.9702797,0.6117815,-10,0
293.8371,PrismAdaptation,19,Caught,0.005214255,0.9908674,0.6267141,0.003584668,0.9528236,0.6188616,-10,0
296.3957,PrismAdaptation,20,Caught,0.2430236,1.16867,0.5420688,0.2344196,1.133488,0.451137,-10,0
298.9143,PrismAdaptation,21,Caught,0.500526,1.134622,0.4545795,0.4863728,1.081608,0.4029192,-10,0
301.5528,PrismAdaptation,22,Caught,-0.289627,0.9472616,0.5768065,-0.2818157,0.9075356,0.5089983,-10,0
304.1514,PrismAdaptation,23,Caught,0.1562393,1.133656,0.5669383,0.1592243,1.115543,0.4759173,-10,0
306.5301,PrismAdaptation,24,Caught,0.08938567,1.132029,0.5069312,0.07963447,1.112614,0.4790911,-10,0
308.9488,PrismAdaptation,25,Caught,-0.2884305,0.9425201,0.5076861,-0.3074505,0.9348793,0.4735979,-10,0
311.5273,PrismAdaptation,26,Caught,-0.3825467,1.134018,0.446391,-0.3747112,1.108219,0.4091448,-10,0
