Timestamp,Mode,Index,Ball_State,Ball_Pos_X,Ball_Pos_Y,Ball_Pos_Z,Hand_Pos_X,Hand_Pos_Y,Hand_Pos_Z,Shift,Cumulative_Omission
26.74042,DeviationTest,0,Hidden,0.25,1.028827,0.5016397,0.2661212,1.043156,0.4043323,-10,NA
28.88047,DeviationTest,1,Hidden,-0.25,1.028827,0.5016397,-0.206535,1.023991,0.3717395,-10,NA
30.96052,DeviationTest,2,Hidden,0,1.028827,0.5604841,0.01734191,1.059147,0.4465686,-10,NA
33.04057,DeviationTest,3,Hidden,0,1.028827,0.5604841,0.02613097,1.074284,0.4346057,-10,NA
35.08061,DeviationTest,4,Hidden,0.25,1.028827,0.5016397,0.2020343,1.076603,0.3666126,-10,NA
37.14066,DeviationTest,5,Hidden,-0.25,1.028827,0.5016397,-0.2000653,1.03339,0.3384143,-10,NA
44.32082,PrismAdaptation,0,Caught,0.2067992,1.16325,0.5440159,0.25367,1.099674,0.4844104,-10,0
46.82088,PrismAdaptation,1,Caught,-0.1101345,0.8982572,0.6276108,-0.07579774,0.9008217,0.5732776,-10,0
49.54094,PrismAdaptation,2,Caught,-0.1623707,1.005884,0.6586149,-0.1168134,1.003727,0.568761,-10,0
52.201,PrismAdaptation,3,Caught,-0.1437144,0.9703913,0.579042,-0.06859559,0.9398842,0.5498401,-10,0
54.60106,PrismAdaptation,4,Caught,-0.2433639,0.9549376,0.6765026,-0.2294843,0.9359779,0.5763294,-10,0
57.22112,PrismAdaptation,5,Caught,-0.2655831,1.037454,0.6821108,-0.270744,1.010807,0.5746204,-10,0
60.06118,PrismAdaptation,6,Caught,0.07412045,0.9213303,0.5016211,0.1464923,0.8845863,0.5141956,-10,0
62.52124,PrismAdaptation,7,Missed,0.2959934,1.128827,0.3527512,0.4199298,1.037907,0.3802844,-10,1
65.16108,PrismAdaptation,8,Caught,-0.06463206,1.129817,0.5224788,-0.03758973,1.105412,0.5199329,-10,1
67.70065,PrismAdaptation,9,Caught,-0.05775452,0.9034007,0.5728535,-0.04418153,0.9202309,0.5554553,-10,1
70.34021,PrismAdaptation,10,Caught,0.1824743,1.131153,0.5957953,0.1906818,1.100163,0.4997913,-10,1
72.67982,PrismAdaptation,11,Caught,-0.2187943,1.098837,0.5603733,-0.1534345,1.062321,0.4994251,-10,1
75.19939,PrismAdaptation,12,Caught,0.3698905,1.131334,0.4786575,0.3507159,1.094791,0.4551135,-10,1
77.71897,PrismAdaptation,13,Caught,0.3120626,1.130843,0.4973371,0.3332599,1.081852,0.4358264,-10,1
80.13857,PrismAdaptation,14,Caught,0.4523717,1.1305,0.3384557,0.4716876,1.087833,0.3202258,-10,1
82.67814,PrismAdaptation,15,Caught,-0.446522,1.002429,0.5293641,-0.4124677,0.9297523,0.461217,-10,1
85.35769,PrismAdaptation,16,Caught,0.2015718,1.170926,0.5763986,0.1763995,1.125553,0.5006458,-10,1
87.6773,PrismAdaptation,17,Caught,0.1458293,1.131384,0.6225015,0.144173,1.09589,0.5417835,-10,1
90.23687,PrismAdaptation,18,Caught,0.03848602,1.177232,0.6249346,0.04908019,1.123234,0.5815784,-10,1
92.59647,PrismAdaptation,19,Caught,0.09516377,0.9350103,0.5397004,0.1010821,0.9120522,0.5261585,-10,1
95.07606,PrismAdaptation,20,Caught,-0.0028516,1.088888,0.6294999,-0.004264537,1.044987,0.5710803,-10,1
97.75561,PrismAdaptation,21,Caught,-0.09408882,1.00696,0.6936421,-0.08190125,0.9518471,0.6269885,-10,1
100.2152,PrismAdaptation,22,Caught,0.3134198,1.093577,0.5428593,0.3201984,1.086735,0.4545032,-10,1
102.7748,PrismAdaptation,23,Caught,0.02987228,1.051289,0.7562996,0.0638507,1.008976,0.6926624,-10,1
