Timestamp,Mode,Index,Ball_State,Ball_Pos_X,Ball_Pos_Y,Ball_Pos_Z,Hand_Pos_X,Hand_Pos_Y,Hand_Pos_Z,Shift,Cumulative_Omission
16.9602,DeviationTest,0,Hidden,-0.25,1.028827,0.5016397,-0.1710126,1.072208,0.2950794,-15,NA
18.88024,DeviationTest,1,Hidden,0.25,1.028827,0.5016397,0.2107013,1.06049,0.3905383,-15,NA
20.82029,DeviationTest,2,Hidden,0.25,1.028827,0.5016397,0.1773761,1.064274,0.3476917,-15,NA
22.68033,DeviationTest,3,Hidden,0,1.028827,0.5604841,-0.008903209,1.023136,0.3653919,-15,NA
24.48037,DeviationTest,4,Hidden,0,1.028827,0.5604841,-0.01232118,1.023258,0.3611194,-15,NA
26.28041,DeviationTest,5,Hidden,-0.25,1.028827,0.5016397,-0.1711347,1.041325,0.2381946,-15,NA
33.34057,PrismAdaptation,0,Caught,0.2731796,0.9080722,0.5255834,0.2921222,0.8914223,0.4592639,-15,0
35.90063,PrismAdaptation,1,Caught,0.3725322,0.9759898,0.4925036,0.3774493,0.9740639,0.4267932,-15,0
38.28069,PrismAdaptation,2,Caught,0.257574,0.8960468,0.569222,0.2669757,0.9002113,0.468053,-15,0
40.90075,PrismAdaptation,3,Caught,0.1459509,0.8731601,0.6329545,0.1693195,0.8468666,0.5615588,-15,0
43.3008,PrismAdaptation,4,Caught,-0.4510828,1.067209,0.5287573,-0.397453,1.028141,0.4509631,-15,0
45.98086,PrismAdaptation,5,Caught,0.209031,1.037547,0.665404,0.2421954,1.005924,0.5769397,-15,0
48.54092,PrismAdaptation,6,Caught,0.2188067,1.090842,0.6011664,0.2468341,1.056217,0.5223743,-15,0
51.02098,PrismAdaptation,7,Caught,0.07787293,0.9486594,0.6547422,0.1423419,0.934269,0.6161243,-15,0
53.42103,PrismAdaptation,8,Caught,-0.1127528,1.17346,0.6168361,-0.119743,1.102116,0.5453235,-15,0
55.74109,PrismAdaptation,9,Caught,-0.1647355,0.938298,0.5672795,-0.1694257,0.9072914,0.5483752,-15,0
58.02114,PrismAdaptation,10,Caught,-0.09085,1.163274,0.5965978,-0.06212587,1.117374,0.5599719,-15,0
60.6012,PrismAdaptation,11,Caught,-0.03615926,0.9882072,0.6506155,-0.01293153,0.9230385,0.6622669,-15,0
62.98125,PrismAdaptation,12,Caught,0.2419188,1.131118,0.5716123,0.2473224,1.114933,0.5221301,-15,0
65.58101,PrismAdaptation,13,Caught,-0.2148822,0.9974738,0.657024,-0.1716229,0.9259682,0.6112415,-15,0
68.06059,PrismAdaptation,14,Caught,0.2504104,1.009417,0.687997,0.2243732,0.9672279,0.5979358,-15,0
70.30022,PrismAdaptation,15,Caught,0.05902938,0.9421478,0.6028206,0.06604797,0.9147377,0.5672961,-15,0
72.71981,PrismAdaptation,16,Caught,0.2453683,1.011289,0.6379938,0.2161945,0.9784584,0.5434924,-15,0
74.93944,PrismAdaptation,17,Caught,-0.4338649,0.9924946,0.4978639,-0.4017255,0.9468422,0.4413196,-15,0
77.47901,PrismAdaptation,18,Caught,0.277189,0.9970379,0.6296407,0.2756427,0.9572182,0.5679065,-15,0
79.9186,PrismAdaptation,19,Caught,-0.03161182,1.081562,0.6533736,-0.0006024279,1.021915,0.5978137,-15,0
82.15823,PrismAdaptation,20,Caught,-0.4175632,1.09249,0.4572934,-0.3907391,1.042423,0.3949329,-15,0
84.57782,PrismAdaptation,21,Caught,0.1514537,1.190675,0.5908642,0.1607745,1.147648,0.535802,-15,0
87.0774,PrismAdaptation,22,Caught,-0.2990046,0.8973586,0.5605589,-0.2697675,0.8820229,0.523595,-15,0
89.437,PrismAdaptation,23,Caught,0.3097196,0.9400542,0.53645,0.3086017,0.9055824,0.4673206,-15,0
91.8166,PrismAdaptation,24,Caught,0.01074172,0.9444869,0.660528,0.01197081,0.9359779,0.6114856,-15,0
94.17621,PrismAdaptation,25,Caught,-0.2989731,1.086365,0.5583807,-0.2600018,1.048161,0.5194446,-15,0
96.49582,PrismAdaptation,26,Caught,0.1126675,0.9846989,0.6389691,0.113045,0.9516029,0.5762073,-15,0
98.91541,PrismAdaptation,27,Caught,-0.02738444,0.9457974,0.6901049,-0.04125184,0.9364662,0.5858508,-15,0
101.315,PrismAdaptation,28,Caught,0.3189743,0.981472,0.5524796,0.3122638,0.9721107,0.4806262,-15,0
103.5746,PrismAdaptation,29,Caught,0.321429,0.9447801,0.5816125,0.2913898,0.9370766,0.5050403,-15,0
105.9142,PrismAdaptation,30,Caught,-0.06894433,0.862482,0.6781549,-0.02977723,0.8672523,0.6130725,-15,0
108.3738,PrismAdaptation,31,Caught,-0.1097191,0.9116952,0.5597122,-0.08019227,0.8811684,0.5404407,-15,0
110.6734,PrismAdaptation,32,Caught,-0.02840904,0.9632913,0.732738,-0.02965516,0.9658852,0.6460315,-15,0
113.173,PrismAdaptation,33,Caught,-0.03212994,1.131915,0.6687486,-0.01439637,1.104801,0.5865833,-15,0
115.5526,PrismAdaptation,34,Caught,-0.1268368,1.136523,0.7733476,-0.1386639,1.109196,0.6726428,-15,0
118.1522,PrismAdaptation,35,Caught,-0.08252789,1.059513,0.7093142,-0.07884949,1.037785,0.6567737,-15,0
120.6318,PrismAdaptation,36,Caught,0.1285699,1.085964,0.6357159,0.147713,1.048405,0.5620471,-15,0
123.1114,PrismAdaptation,37,Caught,-0.152453,1.134647,0.6990475,-0.1535565,1.101871,0.6362659,-15,0
125.491,PrismAdaptation,38,Caught,-0.1592727,0.9411384,0.6096824,-0.1171796,0.9251137,0.5556995,-15,0
127.9705,PrismAdaptation,39,Caught,-0.003247674,0.8877906,0.7079304,0.01734191,0.8850746,0.6057483,-15,0
